<SIZE>197
<LANG>EN
<STATE>Western Finland,LS
Turku,60.45,22.2833
Töysä,62.6333,23.8167
Ullava,63.6,24.0833
Ulvila,61.4333,21.8833
Urjala,61.0833,23.5333
Uurainen,62.5,25.45
Uusikaupunki,60.8,21.4167
Vahto,60.6,22.3
Valkeakoski,61.2667,24.0333
Vammala,61.3333,22.9
Vampula,61.0167,22.7
Vaasa,63.1,21.6
Vehmaa,60.6833,21.6667
Velkua,60.4667,21.6667
Vesilahti,61.3167,23.6167
Veteli,63.4667,23.7667
Viiala,61.2167,23.7833
Viitasaari,63.0667,25.8667
Viljakkala,61.7,23.2667
Vilppula,62.0167,24.5167
Vimpeli,63.15,23.8
Virrat,62.2333,23.7833
Vähäkyrö,63.0667,22.1
Västanfjärd,60.05,22.6833
Vöyri,63.15,22.25
Ylihärmä,63.15,22.7833
Ylistaro,62.95,22.5167
Yläne,60.8833,22.4167
Ylöjärvi,61.55,23.6
Äetsä,61.2833,22.6833
Ähtäri,62.5667,24.1
Äänekoski,62.6,25.7333
