<SIZE>180
<LANG>EN
<STATE>North Dakota,ND
Stanton,47.3211,-101.382
Starkweather,48.452,-98.8837
Steele,46.8547,-99.9159
Sykeston,47.465,-99.3996
Tappen,46.875,-99.6365
Tioga,48.3972,-102.938
Tolna,47.8272,-98.4401
Tower City,46.9228,-97.674
Towner,48.3458,-100.405
Tuttle,47.1436,-99.9946
Underwood,47.4564,-101.137
Upham,48.5817,-100.728
Valley City,46.9233,-98.0032
Velva,48.0561,-100.929
Wahpeton,46.2652,-96.6059
Wales,48.8958,-98.6026
Walhalla,48.9233,-97.9181
Warwick,47.855,-98.7101
Washburn,47.2892,-101.029
Watford City,47.8022,-103.283
West Fargo,46.875,-96.9004
Westhope,48.9095,-101.021
White Shield,47.6614,-101.845
Wildrose,48.6306,-103.184
Williston,48.147,-103.618
Willow City,48.6044,-100.294
Wilton,47.1586,-100.783
Wimbledon,47.1697,-98.4598
Wing,47.1408,-100.279
Wishek,46.2569,-99.5571
Wolford,48.4986,-99.7043
Wyndmere,46.2666,-97.1323
Zeeland,45.97,-99.8307
