<SIZE>293
<LANG>EN
<STATE>New Jersey,NJ
Englewood Cliffs,40.8854,-73.9524
Ewing,40.2698,-74.7999
Fair Haven,40.3607,-74.0382
Fair Lawn,40.9404,-74.1318
Fairfield,40.8837,-74.306
Fairview,40.8126,-73.999
Fanwood,40.6409,-74.3835
Florham Park,40.7879,-74.3882
Fords,40.5293,-74.316
Forked River,39.8398,-74.1901
Fort Dix,40.0298,-74.6185
Fort Lee,40.8509,-73.9701
Franklin,41.122,-74.5804
Franklin Lakes,41.0168,-74.2057
Freehold,40.2601,-74.2738
Frenchtown,40.5262,-75.0616
Garfield,40.8815,-74.1132
Glassboro,39.7029,-75.1118
Glen Ridge,40.8054,-74.2038
Glen Rock,40.9629,-74.1329
Gloucester City,39.8918,-75.1163
Greentree,39.8971,-74.9557
Guttenberg,40.792,-74.0038
Hackensack,40.8859,-74.0435
Hackettstown,40.854,-74.8291
Haddon Heights,39.8773,-75.0646
Haddonfield,39.8915,-75.0377
Haledon,40.9357,-74.1863
Hammonton,39.6365,-74.8024
Harrison,40.7465,-74.1563
Hasbrouck Heights,40.8582,-74.0807
Hawthorne,40.9493,-74.1538
Heathcote,40.3887,-74.5757
Highland Lake,41.1768,-74.4565
Highland Park,40.4959,-74.4243
Highlands,40.4037,-73.9915
Hightstown,40.2696,-74.5232
Hillsdale,41.0026,-74.0404
Hillside,40.7012,-74.2301
Hoboken,40.744,-74.0324
Hopatcong,40.9329,-74.6593
Hopatcong Hills,40.944,-74.6707
Irvington,40.7323,-74.2349
Iselin,40.5754,-74.3224
Jamesburg,40.3526,-74.4402
Jersey City,40.7282,-74.0776
Keansburg,40.4418,-74.1299
Kearny,40.7684,-74.1454
Kendall Park,40.4209,-74.5607
Kenilworth,40.6765,-74.2907
Keyport,40.4332,-74.1996
Kinnelon,41.0018,-74.3671
Lake Mohawk,41.0184,-74.6602
Lakewood,40.0979,-74.2176
Laurence Harbor,40.4568,-74.2465
Leisure Village East,40.0301,-74.1643
Leonia,40.8615,-73.9882
Lincoln Park,40.9243,-74.3021
Lincroft,40.3307,-74.121
Linden,40.622,-74.2446
Lindenwold,39.8243,-74.9977
Linwood,39.3398,-74.5752
Little Falls,40.869,-74.2082
Little Ferry,40.8529,-74.0421
Little Silver,40.3368,-74.0471
Livingston,40.7959,-74.3149
Lodi,40.8823,-74.0832
Long Branch,40.3043,-73.9924
Lyndhurst,40.812,-74.1243
Madison,40.7598,-74.4171
Madison Park,40.4515,-74.3079
Manasquan,40.1262,-74.0493
Manville,40.5409,-74.5877
Maple Shade,39.9526,-74.9924
Maplewood,40.7312,-74.2735
Margate City,39.3279,-74.5035
Marlton,39.8912,-74.9218
Matawan,40.4148,-74.2296
Maywood,40.9026,-74.0618
Mendham,40.7759,-74.6007
Metuchen,40.5432,-74.3632
Middlesex,40.5726,-74.4927
Midland Park,40.9893,-74.1407
Milltown,40.4562,-74.4432
Millville,39.4021,-75.0393
Montclair,40.8259,-74.209
Montvale,41.0468,-74.0229
Morganville,40.3765,-74.2443
Morris Plains,40.8218,-74.481
Morristown,40.7968,-74.4815
Mount Arlington,40.9259,-74.6349
Mount Holly,39.9929,-74.7877
Mountainside,40.6723,-74.3574
Mystic Islands,39.5443,-74.3824
Neptune City,40.2001,-74.0279
New Brunswick,40.4862,-74.4518
New Milford,40.9351,-74.019
New Providence,40.6984,-74.4015
Newark,40.7357,-74.1724
Newton,41.0582,-74.7527
North Arlington,40.7884,-74.1332
North Bergen,40.8043,-74.0121
North Caldwell,40.8648,-74.2582
North Haledon,40.9551,-74.186
North Plainfield,40.6301,-74.4274
Northfield,40.7743,-74.3246
Norwood,40.9982,-73.9618
Nutley,40.8223,-74.1599
Oakland,41.0132,-74.2643
Ocean Acres,39.7435,-74.281
Ocean City,39.2776,-74.5746
Oceanport,40.3182,-74.0151
Old Bridge,40.4148,-74.3654
Old Tappan,41.0107,-73.9912
Oradell,40.9587,-74.0368
Orange,40.7707,-74.2326
Palisades Park,40.8482,-73.9976
Palmyra,40.0071,-75.0282
Paramus,40.9445,-74.0754
Park Ridge,41.0376,-74.0407
Passaic,40.8568,-74.1285
Paterson,40.9168,-74.1718
Paulsboro,39.8304,-75.2405
Penns Grove,39.7,-75.5
Pennsauken,39.9562,-75.058
Pennsville,39.6534,-75.5166
Perth Amboy,40.5068,-74.2654
Phillipsburg,40.6937,-75.1902
Pine Hill,39.7843,-74.9921
Pitman,39.7329,-75.1316
Plainfield,40.6337,-74.4074
Pleasantville,39.3898,-74.524
Point Pleasant,40.0832,-74.0682
Point Pleasant Beach,40.0912,-74.0479
Pompton Lakes,41.0054,-74.2907
Princeton,40.3487,-74.659
Princeton Meadows,40.3318,-74.5638
Prospect Park,40.2404,-74.7663
Rahway,40.6082,-74.2776
Ramblewood,39.9287,-74.9438
Ramsey,41.0573,-74.141
Ramtown,40.1209,-74.1438
Raritan,40.5695,-74.6329
Red Bank,40.3471,-74.0643
Ridgefield,40.8343,-74.0088
Ridgefield Park,40.857,-74.0215
Ridgewood,40.9793,-74.1165
Ringwood,41.1134,-74.2454
River Edge,40.9287,-74.0399
River Vale,40.9954,-74.0121
Rochelle Park,40.9073,-74.0751
Rockaway,40.9012,-74.5143
Roseland,40.8207,-74.2938
Roselle,40.6643,-74.2632
Roselle Park,40.6645,-74.2643
Rumson,40.3721,-73.999
Runnemede,39.8523,-75.0679
Rutherford,40.8265,-74.1068
Saddle Brook,40.899,-74.0926
Salem,39.5718,-75.4671
Sayreville,40.4593,-74.361
Sayreville Junction,40.4654,-74.3304
Scotch Plains,40.6554,-74.3899
Secaucus,40.7895,-74.0565
Somerdale,39.844,-75.0227
Somers Point,39.3176,-74.5946
Somerset,40.4976,-74.4885
Somerville,40.5743,-74.6099
South Amboy,40.4779,-74.2907
South Old Bridge,40.4082,-74.3543
South Orange,40.749,-74.2613
South Plainfield,40.5793,-74.4115
South River,40.4465,-74.386
South Vineland,39.4459,-75.0288
Spotswood,40.3918,-74.3985
Spring Lake Heights,40.1504,-74.031
Springdale,39.9026,-74.9663
Springfield,40.7232,-74.3107
Stratford,39.8268,-75.0154
Strathmore,40.3959,-74.2135
Summit,40.7415,-74.3596
Teaneck,40.8976,-74.016
Tenafly,40.9254,-73.9629
Tinton Falls,40.3043,-74.1004
Toms River,39.9537,-74.1979
Totowa,40.9051,-74.2099
Trenton,40.2171,-74.7429
Twin Rivers,40.264,-74.4913
Union,40.6976,-74.2632
Union Beach,40.4465,-74.1782
Union City,40.7795,-74.0238
Upper Saddle River,41.0584,-74.0985
Ventnor City,39.3404,-74.4774
Verona,40.8298,-74.2401
Villas,39.0287,-74.9385
Vineland,39.4862,-75.0257
Waldwick,41.0107,-74.1179
Wallington,40.8532,-74.1138
Wanaque,41.0382,-74.294
Washington,40.7584,-74.9793
Watchung,40.6379,-74.451
Wayne,40.9254,-74.2765
Weehawken,40.7695,-74.0204
West Caldwell,40.8409,-74.3018
West Freehold,40.2421,-74.3013
West Long Branch,40.2904,-74.0176
West Milford,41.1312,-74.3674
West New York,40.7879,-74.0143
West Orange,40.7987,-74.239
West Paterson,40.8898,-74.1949
Westfield,40.659,-74.3474
Westwood,40.9912,-74.0326
Wharton,40.8932,-74.5818
White Horse,40.1907,-74.7024
White Meadow Lake,40.9237,-74.5107
Wildwood,38.9918,-74.8149
Williamstown,39.6862,-74.9952
Willingboro,40.0279,-74.8691
Wood-Ridge,40.8457,-74.0879
Woodbine,39.2418,-74.8152
Woodbridge,40.5576,-74.2846
Woodbury,39.8382,-75.1527
Woodcliff Lake,41.0234,-74.0665
Wyckoff,41.0095,-74.1729
Yorketown,40.3079,-74.3376
