<SIZE>323
<LANG>EN
<STATE>Pennsylvania,PA
Le Raysville,41.8387,-76.1802
Lebanon,40.3409,-76.4113
Lehighton,40.8337,-75.7138
Levittown,40.1551,-74.8288
Lewisburg,40.9645,-76.8844
Lewistown,40.5992,-77.5714
Liberty,41.5584,-77.1047
Linesville,41.6562,-80.424
Linglestown,40.334,-76.7891
Lititz,40.1573,-76.3069
Lock Haven,41.137,-77.4469
Lower Allen,40.2265,-76.9005
Lower Burrell,40.5531,-79.7573
Lykens,40.5668,-76.7005
Mansfield,41.8073,-77.0775
Maple Glen,40.0156,-79.9767
Matamoras,41.3687,-74.7002
McClure,40.707,-77.3144
McKees Rocks,40.4656,-80.0656
McKeesport,40.3478,-79.8642
Meadville,41.6414,-80.1515
Mechanicsburg,40.2143,-77.0086
Media,39.9168,-75.3877
Mercersburg,39.8279,-77.9033
Meyersdale,39.8137,-79.0247
Middletown,40.644,-75.3324
Millersburg,40.5395,-76.9608
Millersville,39.9979,-76.3541
Millheim,40.8909,-77.4767
Milton,41.012,-76.8477
Monaca,40.6873,-80.2715
Monessen,40.1484,-79.8878
Monroeville,40.4212,-79.7881
Montgomeryville,40.2473,-75.2438
Montrose,41.834,-75.8771
Monument,41.1112,-77.7044
Moosic,41.3534,-75.7383
Morrisville,39.8948,-80.1617
Mount Carmel,40.797,-76.4119
Mount Joy,40.1098,-76.5033
Mount Lebanon,40.3553,-80.0495
Mountain Top,40.1068,-75.9527
Mountainhome,41.1737,-75.271
Munhall,40.3923,-79.9
Murrysville,40.4284,-79.6975
Nanticoke,41.2054,-76.0049
Nazareth,40.7404,-75.3096
New Bethlehem,41.0017,-79.3314
New Bloomfield,40.4198,-77.1864
New Brighton,40.7303,-80.3101
New Castle,41.0037,-80.347
New Cumberland,40.2323,-76.8847
New Freedom,39.7379,-76.7014
New Holland,40.1018,-76.0852
New Kensington,40.5698,-79.7648
Norristown,40.1215,-75.3399
North Braddock,40.399,-79.8409
North East,42.2156,-79.8342
North Versailles,40.3798,-79.8095
Northampton,40.6862,-75.4968
Northern Cambria,40.6592,-78.7817
Norwood,39.8918,-75.2996
Oakmont,40.5217,-79.8423
Oil City,41.4339,-79.7064
Old Forge,41.3712,-75.7349
Oreland,40.1184,-75.1777
Osceola Mills,40.8501,-78.2706
Oxford,39.7854,-75.9788
Palmerton,40.8015,-75.6102
Palmyra,40.309,-76.5933
Paoli,40.0421,-75.4763
Park Forest Village,40.8067,-77.9169
Parkville,39.7812,-76.9633
Paxtonia,40.3173,-76.7944
Penn Wynne,39.9862,-75.2755
Perkasie,40.372,-75.2927
Philadelphia,39.9523,-75.1638
Phoenixville,40.1304,-75.5149
Pine Grove,40.5484,-76.3847
Pittsburgh,40.4406,-79.9959
Pittston,41.3259,-75.7894
Pleasant Hills,40.3356,-79.9606
Plum,40.5003,-79.7495
Plymouth,41.2404,-75.9446
Plymouth Meeting,40.1023,-75.2743
Point Marion,39.739,-79.8987
Port Allegany,41.8109,-78.2797
Portage,40.3887,-78.6722
Pottstown,40.2454,-75.6496
Pottsville,40.6856,-76.1955
Progress,40.2851,-76.8314
Prospect Park,39.8879,-75.3082
Punxsutawney,40.9437,-78.9709
Quakertown,40.4418,-75.3416
Radnor,40.0462,-75.3599
Reading,40.3356,-75.9269
Red Lion,40.4807,-75.616
Renovo,41.3265,-77.7508
Richboro,40.2151,-75.0107
Ridley Park,39.8812,-75.3238
Saint Marys,41.4278,-78.5609
Sanatoga,40.2451,-75.5952
Saxton,40.2154,-78.2445
Sayre,41.979,-76.5155
Schuylkill Haven,40.6306,-76.1711
Scranton,41.409,-75.6624
Selinsgrove,40.799,-76.8622
Shamokin,40.789,-76.5588
Sharon,41.2331,-80.4934
Sharon Hill,39.9065,-75.2716
Shenandoah,40.8204,-76.2008
Shiloh,41.0417,-78.2914
Shippensburg,40.0506,-77.5203
Somerset,40.0084,-79.0781
Souderton,40.3118,-75.3252
South Williamsport,41.232,-76.9991
Springfield,39.9307,-75.3202
Spry,39.9184,-76.685
State College,40.7934,-77.86
Steelton,40.2354,-76.8414
Stoneboro,41.3392,-80.1051
Stroudsburg,40.9868,-75.1946
Sugar Grove,41.9826,-79.3387
Sugarcreek,41.4214,-79.8812
Sunbury,40.8626,-76.7944
Susquehanna,41.9434,-75.5996
Susquehanna Trails,39.7587,-76.368
Swarthmore,39.9021,-75.3499
Swissvale,40.4237,-79.8828
Tamaqua,40.7973,-75.9694
Taylor,41.3948,-75.7066
Three Springs,40.1951,-77.9831
Tidioute,41.6851,-79.4031
Tionesta,41.4953,-79.4559
Titusville,41.627,-79.6737
Towanda,41.7676,-76.4427
Treasure Lake,41.1734,-78.7159
Trooper,40.1498,-75.4018
Tunkhannock,41.5387,-75.9466
Turtle Creek,40.4059,-79.8251
Tyrone,40.6706,-78.2386
Uniontown,39.9001,-79.7164
Upper Sainte Clair,40.3359,-80.0834
Valley-Hi,40.0293,-78.1914
Vandergrift,40.6028,-79.5648
Warren,41.8439,-79.145
Washington,40.174,-80.2462
Waynesboro,39.7559,-77.5778
Weigelstown,39.9837,-76.8225
Wellsboro,41.8,-77.3
West Alexander,40.1051,-80.5079
West Chester,39.9607,-75.6055
West Goshen,39.9682,-75.5727
West Mifflin,40.3634,-79.8664
West Norriton,40.1296,-75.3785
West View,40.5223,-80.0342
Westfield,41.9192,-77.5389
Westmont,40.3156,-78.9517
White Haven,41.0606,-75.7741
White Oak,40.3376,-79.8092
Whitehall,40.3612,-79.9909
Wilkes-Barre,41.2459,-75.8813
Wilkinsburg,40.4417,-79.882
Williamsport,41.2412,-77.0011
Willow Grove,40.144,-75.1157
Willow Street,39.9793,-76.2763
Wilson,40.3101,-79.8914
Woodlyn,39.8723,-75.3371
Wyndmoor,40.0812,-75.1893
Wyomissing,40.3295,-75.9652
Yeadon,39.939,-75.2555
York,39.9626,-76.7277
York Springs,40.009,-77.1155
