<SIZE>166
<LANG>EN
<STATE>Kentucky,KY
Paducah,37.0834,-88.6
Paintsville,37.8145,-82.8071
Paris,38.2098,-84.253
Phelps,37.5129,-82.1501
Pikeville,37.4793,-82.5188
Pine Knot,36.6509,-84.4385
Prestonsburg,37.7,-82.8
Princeton,37.1092,-87.882
Providence,37.3975,-87.7628
Radcliff,37.8403,-85.9491
Richmond,37.7479,-84.2947
Russellville,36.8453,-86.8872
Sadieville,38.3892,-84.5374
Saint Dennis,38.1884,-85.8458
Saint Matthews,38.2528,-85.6558
Salyersville,37.7526,-83.0688
Sandy Hook,38.0865,-83.1263
Scottsville,36.7534,-86.1905
Sebree,37.607,-87.5286
Shelbyville,38.212,-85.2236
Shepherdsville,37.9884,-85.7158
Shively,38.2001,-85.8227
Somerset,37.092,-84.6041
South Shore,38.7209,-82.9582
Springfield,37.7,-85.2
Stanton,37.8456,-83.8583
Taylor Mill,38.9976,-84.4963
Tompkinsville,36.7023,-85.6916
Upton,37.4651,-85.8933
Valley Station,38.1112,-85.8702
Vanceburg,38.5992,-83.3188
Versailles,38.0526,-84.7299
Villa Hills,39.0634,-84.593
Warsaw,38.7834,-84.9016
West Liberty,37.9215,-83.2596
Whitesville,37.6831,-86.8714
Williamsburg,36.7434,-84.1597
Williamstown,38.6381,-84.5605
Willisburg,37.8098,-85.1264
Wilmore,37.862,-84.6616
Winchester,37.9901,-84.1796
Woodbury,37.1834,-86.6339
