<SIZE>674
<LANG>EN
<STATE>California,CA
Caruthers,36.5427,-119.833
Castro Valley,37.6941,-122.086
Castroville,36.7658,-121.758
Cathedral City,33.7797,-116.465
Ceres,37.5949,-120.958
Cerritos,33.8583,-118.065
Charter Oak,34.1031,-117.846
Cherry Valley,33.9725,-116.977
Cherryland,37.6794,-122.103
Chester,40.3063,-121.232
Chico,39.7285,-121.837
Chino,34.0122,-117.689
Chino Hills,33.8936,-117.727
Chowchilla,37.123,-120.26
Chula Vista,32.6401,-117.084
Citrus,34.115,-117.892
Citrus Heights,38.7071,-121.281
Claremont,34.0967,-117.72
Clayton,37.941,-121.936
Clearlake,38.9582,-122.626
Cloverdale,38.8055,-123.017
Clovis,36.8252,-119.703
Coachella,33.6803,-116.174
Coalinga,36.1397,-120.36
Cobb,38.8351,-122.7223
Colton,34.0739,-117.314
Colusa,39.2143,-122.009
Commerce,34.0006,-118.16
Compton,33.8958,-118.22
Concord,37.978,-122.031
Copperopolis,37.981,-120.642
Corcoran,36.098,-119.56
Corning,39.9277,-122.179
Corona,33.8753,-117.566
Coronado,32.6859,-117.183
Corte Madera,37.9255,-122.527
Costa Mesa,33.6411,-117.919
Cotati,38.3269,-122.707
Coto De Caza,33.6042,-117.587
Country Club,37.9688,-121.341
Covelo,39.7929,-123.248
Covina,34.09,-117.89
Crescent City,41.7559,-124.202
Crestline,34.242,-117.286
Cudahy,33.9606,-118.185
Culver City,34.0211,-118.396
Cupertino,37.323,-122.032
Cypress,33.817,-118.037
Daly City,37.7058,-122.462
Dana Point,33.467,-117.698
Danville,37.8216,-122
Darwin,36.268,-117.592
Davis,38.5449,-121.741
Del Aire,33.9161,-118.37
Delano,35.7688,-119.247
Delhi,37.4322,-120.779
Desert Hot Springs,33.9611,-116.502
Diamond Bar,34.0286,-117.81
Diamond Springs,38.6946,-120.815
Dinuba,36.5433,-119.387
Discovery Bay,37.9085,-121.6
Dixon,38.4455,-121.823
Dorris,41.9674,-121.918
Dos Palos,36.9861,-120.627
Downey,33.94,-118.133
Duarte,34.1395,-117.977
Dublin,37.7022,-121.936
Durham,39.6463,-121.8
Earlimart,35.8841,-119.272
East Compton,33.8981,-118.195
East Foothills,37.3811,-121.817
East Hemet,33.74,-116.939
East La Mirada,33.9245,-117.989
East Los Angeles,34.0239,-118.172
East Palo Alto,37.4688,-122.141
East Pasadena,34.1461,-118.094
East Porterville,36.0575,-118.976
East Quincy,39.9341,-120.898
El Cajon,32.7948,-116.963
El Centro,32.792,-115.563
El Cerrito,37.9158,-122.312
El Dorado Hills,38.6857,-121.082
El Granada,37.5027,-122.469
El Monte,34.0686,-118.028
El Rio,34.2322,-119.173
El Segundo,33.9192,-118.416
El Sobrante,37.9771,-122.295
Elk Grove,38.4088,-121.372
Emeryville,37.8313,-122.285
Encinitas,33.037,-117.292
Escalon,37.7974,-120.997
Escondido,33.1192,-117.086
Etna,41.4568,-122.895
Eureka,40.8021,-124.164
Exeter,36.2961,-119.142
Fair Oaks,38.6446,-121.272
Fairfax,37.9871,-122.589
Fairfield,38.2494,-122.04
Fairview,37.6785,-122.046
Fall River Mills,41.0046,-121.438
Fallbrook,33.3764,-117.251
Farmersville,36.2977,-119.207
Fillmore,34.3992,-118.918
Firebaugh,36.8588,-120.456
Florin,38.496,-121.409
Folsom,38.678,-121.176
Fontana,34.0922,-117.435
Foothill Farms,38.6763,-121.336
Foothill Ranch,33.6864,-117.661
Foresthill,39.0202,-120.818
Fort Bragg,39.4457,-123.805
Fortuna,40.5982,-124.157
Foster City,37.5585,-122.271
Fountain Valley,33.7092,-117.954
Frazier Park,34.8228,-118.945
Freedom,36.9352,-121.773
Fremont,37.5483,-121.989
French Gulch,40.7007,-122.638
Fresno,36.7477,-119.772
Fullerton,33.8703,-117.925
Furnace Creek,36.458,-116.871
Galt,38.2546,-121.3
Garden Acres,37.9638,-121.229
Garden Grove,33.7739,-117.941
Gardena,33.8883,-118.309
Gazelle,41.5207,-122.52
Gilroy,37.0058,-121.568
Glen Avon,34.0117,-117.485
Glendale,34.1425,-118.255
Glendora,34.1361,-117.865
Gold River,38.6263,-121.247
Golden Hills,35.1425,-118.49
Goleta,34.4358,-119.828
Gonzales,36.5066,-121.444
Grand Terrace,34.0339,-117.314
Granite Bay,38.7632,-121.164
Grass Valley,39.2191,-121.061
Greenfield,36.3208,-121.244
Greenville,40.1396,-120.951
Gridley,39.3638,-121.694
Grover Beach,35.1216,-120.621
Guadalupe,34.9716,-120.572
Gustine,37.2577,-120.999
Hacienda Heights,33.9931,-117.969
Half Moon Bay,37.4636,-122.429
Hanford,36.3274,-119.646
Hawaiian Gardens,33.8314,-118.073
Hawthorne,33.9164,-118.353
Hayfork,40.5543,-123.183
Hayward,37.6688,-122.081
Healdsburg,38.6105,-122.869
Hemet,33.7475,-116.972
Hercules,38.0171,-122.289
Hermosa Beach,33.8622,-118.4
Hesperia,34.4264,-117.301
Highland,34.1283,-117.209
Hillsborough,37.5741,-122.379
Hollister,36.8525,-121.402
Holtville,32.8112,-115.38
Home Gardens,33.8781,-117.521
Hopland,39,-123.1
Hornbrook,41.9101,-122.556
Hughson,37.5969,-120.866
Huntington Beach,33.6603,-117.999
Huntington Park,33.9817,-118.225
Huron,36.2027,-120.103
Imperial,32.8476,-115.569
Imperial Beach,32.5839,-117.113
Independence,36.8027,-118.2
Indio,33.7206,-116.216
Inglewood,33.9617,-118.353
Interlaken,36.9513,-121.734
Inverness,38.101,-122.857
Ione,38.3527,-120.933
Irvine,33.6695,-117.823
Isla Vista,34.4133,-119.861
Ivanhoe,36.3872,-119.218
Jamul,32.717,-116.876
Johannesburg,35.3727,-117.635
Keeler,36.4872,-117.874
Kentfield,37.9521,-122.557
Kerman,36.7236,-120.06
Keyes,37.5566,-120.915
King City,36.2127,-121.126
Kingsburg,36.5138,-119.554
Kirkwood,38.7027,-120.073
Klamath,41.5265,-124.038
La Cañada Flintridge,34.1992,-118.188
La Habra,33.932,-117.946
La Habra Heights,33.9608,-117.951
La Mesa,32.7678,-117.023
La Mirada,33.9172,-118.012
La Palma,33.8464,-118.047
La Porte,39.6821,-120.984
La Presa,32.7081,-116.997
La Puente,34.02,-117.95
La Quinta,33.6634,-116.31
La Riviera,38.5668,-121.357
La Verne,34.1008,-117.768
Ladera Heights,33.9942,-118.375
Lafayette,37.8858,-122.118
Laguna,38.421,-121.424
Laguna Beach,33.5422,-117.783
Laguna Hills,33.6125,-117.713
Laguna Niguel,33.5225,-117.708
Laguna Woods,33.6103,-117.725
Lake Arrowhead,34.2483,-117.189
Lake Elsinore,33.6681,-117.327
Lake Forest,33.647,-117.689
Lake Los Angeles,34.6125,-117.828
Lake Nacimiento,35.7283,-120.88
Lake Wildwood,39.2329,-121.201
Lakeland Village,33.6386,-117.344
Lakeport,39.0429,-122.916
Lakeside,32.8573,-116.922
Lakewood,33.8536,-118.134
Lamont,35.2597,-118.914
Lancaster,34.698,-118.137
Larkspur,37.9341,-122.535
Las Flores,34.0372,-118.636
Lathrop,37.8227,-121.277
Lawndale,33.8872,-118.353
Laytonville,39.6882,-123.483
Lemon Grove,32.7425,-117.031
Lemoore,36.3008,-119.783
Lennox,33.9381,-118.353
Lincoln,38.8916,-121.293
Linda,39.1277,-121.551
Lindsay,36.203,-119.088
Live Oak,36.9836,-121.981
Livermore,37.6819,-121.768
Livingston,37.3869,-120.724
Lodi,38.1302,-121.272
Loma Linda,34.0483,-117.261
Lomita,33.7922,-118.315
Lompoc,34.6391,-120.458
Lone Pine,36.606,-118.063
Long Beach,33.767,-118.189
Loomis,38.8213,-121.193
Los Alamitos,33.8031,-118.073
Los Altos,37.3852,-122.114
Los Altos Hills,37.3797,-122.137
Los Angeles,34.0522,-118.244
Los Banos,37.0583,-120.85
Los Gatos,37.2266,-121.975
Los Serranos,33.9728,-117.708
Lost Hills,35.6163,-119.694
Loyalton,39.6763,-120.241
Lynwood,33.9303,-118.211
Madera,36.9613,-120.061
Madera Acres,37.0191,-120.067
Magalia,39.8121,-121.578
Malibu,34.005,-118.81
Malibu Beach,34.0328,-118.688
Mammoth Lakes,37.6485,-118.972
Manhattan Beach,33.8847,-118.411
Manteca,37.7974,-121.216
Marina,36.6844,-121.802
Marina del Rey,33.9803,-118.452
Markleeville,38.6949,-119.78
Martinez,38.0194,-122.134
Marysville,39.1457,-121.591
Mayflower Village,34.115,-118.01
Maywood,33.9867,-118.185
McFarland,35.678,-119.229
McKinleyville,40.9465,-124.101
Mecca,33.5717,-116.077
Mendota,36.7536,-120.382
Menlo Park,37.4538,-122.182
Mentone,34.07,-117.134
Merced,37.3022,-120.483
Mettler,35.0639,-118.97
Mill Valley,37.906,-122.545
Millbrae,37.5985,-122.387
Milpitas,37.4283,-121.907
Mineral,40.3477,-121.595
Mira Loma,33.9925,-117.516
Mira Monte,34.4336,-119.285
Mission Viejo,33.6,-117.672
Modesto,37.6391,-120.997
Mokelumne Hill,38.3005,-120.706
Monrovia,34.1481,-117.999
Montclair,34.0775,-117.69
Montebello,34.0095,-118.105
Montecito,34.4367,-119.632
Monterey,36.6002,-121.895
Monterey Park,34.0625,-118.123
Moorpark,34.2856,-118.882
Moraga,37.8349,-122.13
Moreno Valley,33.9375,-117.231
Morgan Hill,37.1305,-121.654
Morro Bay,35.3658,-120.85
Mount Hebron,41.7871,-122.004
Mount Shasta,41.3099,-122.311
Mountain View,37.3861,-122.084
Murrieta,33.5539,-117.214
Muscoy,34.1542,-117.344
Napa,38.2971,-122.286
National City,32.6781,-117.099
Needles,34.8481,-114.614
Newark,37.5297,-122.04
Newman,37.3138,-121.021
Newport Beach,33.6189,-117.929
Nipomo,35.0428,-120.476
Norco,33.9311,-117.549
North Auburn,38.9313,-121.082
North Glendale,34.1606,-118.265
North Highlands,38.6857,-121.372
North Tustin,33.7645,-117.794
Norwalk,33.9022,-118.082
Novato,38.1074,-122.57
Oakdale,37.7666,-120.847
Oakland,37.8044,-122.271
Oakley,37.9974,-121.712
Oceano,35.0989,-120.612
Oceanside,33.1959,-117.379
Ocotillo,32.7387,-115.994
Oildale,35.4197,-119.02
Ojai,34.448,-119.243
Olancha,36.2819,-118.006
Olivehurst,39.0954,-121.552
Ontario,34.0633,-117.651
Opal Cliffs,36.9608,-121.964
Orange,33.7878,-117.853
Orange Cove,36.6244,-119.314
Orangevale,38.6785,-121.226
Orcutt,34.8653,-120.436
Orinda,37.8771,-122.18
Orland,39.7474,-122.196
Orosi,36.5449,-119.287
Oroville,39.5138,-121.556
Oxnard,34.1975,-119.177
Oxnard Shores,34.1908,-119.242
Pacific Grove,36.6177,-121.917
Pacifica,37.6138,-122.487
Palermo,39.4354,-121.538
Palm Desert,33.7222,-116.374
Palm Springs,33.8303,-116.545
Palmdale,34.5794,-118.116
Palo Alto,37.4419,-122.143
Palo Verde,33.4328,-114.732
Palos Verdes Estates,33.8006,-118.39
Paradise,39.7596,-121.622
Paramount,33.8895,-118.16
Parlier,36.6116,-119.527
Pasadena,34.1478,-118.145
Paso Robles,35.6266,-120.691
Patterson,37.4716,-121.13
Pearsonville,35.8097,-117.873
Pedley,33.9753,-117.476
Perris,33.7825,-117.229
Petaluma,38.2324,-122.637
Pico Rivera,33.9831,-118.097
Piedmont,37.8244,-122.232
Pine Valley,32.8214,-116.529
Pinole,38.0044,-122.299
Pismo Beach,35.1428,-120.641
Pittsburg,38.028,-121.885
Placentia,33.8722,-117.87
Placerville,38.7296,-120.799
Pleasant Hill,37.948,-122.061
Pleasanton,37.6624,-121.875
Point Arena,38.9088,-123.693
Pollock Pines,38.7613,-120.587
Pomona,34.0553,-117.752
Port Hueneme,34.1478,-119.195
Porterville,36.0652,-119.017
Portola,39.8105,-120.469
Portola Hills,33.6792,-117.631
Poway,32.9628,-117.036
Prunedale,36.7758,-121.67
Quartz Hill,34.6453,-118.218
Ramona,33.0417,-116.868
Rancho Calaveras,38.1274,-120.858
Rancho Cordova,38.5891,-121.303
Rancho Cucamonga,34.1064,-117.593
Rancho Mirage,33.7397,-116.413
Rancho Murieta,38.5019,-121.095
Rancho Palos Verdes,33.7445,-118.387
Rancho San Diego,32.7473,-116.935
Rancho Santa Margarita,33.6409,-117.603
Red Bluff,40.1785,-122.236
Redding,40.5865,-122.392
Redlands,34.0556,-117.183
Redondo Beach,33.8492,-118.388
Redway,40.1201,-123.823
Redwood City,37.4852,-122.236
Reedley,36.5963,-119.45
Rialto,34.1064,-117.37
Richmond,37.9358,-122.348
Ridgecrest,35.6225,-117.671
Rio Del Mar,36.9683,-121.9
Rio Linda,38.691,-121.449
Rio Vista,38.1558,-121.691
Ripon,37.7416,-121.124
Riverbank,37.736,-120.935
Riverside,33.9534,-117.396
Rocklin,38.7907,-121.236
Rodeo,38.033,-122.267
Rohnert Park,38.3396,-122.701
Rolling Hills Estates,33.7878,-118.358
Rosamond,34.8641,-118.163
Rosedale,35.3836,-119.145
Roseland,38.4221,-122.728
Rosemead,34.0806,-118.073
Rosemont,38.5518,-121.365
Roseville,38.7521,-121.288
Rossmoor,33.7856,-118.085
Round Mountain,40.794,-121.942
Rowland Heights,33.9761,-117.905
Rubidoux,33.9961,-117.406
Running Springs,34.2078,-117.109
Sacramento,38.5816,-121.494
Saint Helena,38.5052,-122.47
Salida,37.7058,-121.085
Salinas,36.6777,-121.656
Salton City,33.2986,-115.956
San Anselmo,37.9746,-122.562
San Ardo,36.0205,-120.905
San Bernardino,34.1083,-117.29
San Bruno,37.6305,-122.411
San Carlos,37.5072,-122.261
San Clemente,33.427,-117.612
San Diego,32.7153,-117.157
San Diego Country Estates,33.0067,-116.784
San Dimas,34.1067,-117.807
San Fernando,34.2819,-118.439
San Francisco,37.7749,-122.419
San Gabriel,34.0961,-118.106
San Jacinto,33.7839,-116.959
San Jose,37.3394,-121.895
San Juan Capistrano,33.5017,-117.663
San Leandro,37.7249,-122.156
San Lorenzo,37.681,-122.124
San Luis Obispo,35.2828,-120.66
San Marcos,33.1434,-117.166
San Marino,34.1214,-118.106
San Martin,37.0849,-121.61
San Mateo,37.563,-122.326
San Pablo,37.9621,-122.346
San Rafael,37.9735,-122.531
San Ramon,37.7799,-121.978
Sanger,36.708,-119.556
Santa Ana,33.7456,-117.868
Santa Barbara,34.4208,-119.698
Santa Clara,37.3541,-121.955
Santa Clarita,34.3917,-118.543
Santa Cruz,36.9741,-122.031
Santa Fe Springs,33.9472,-118.085
Santa Maria,34.953,-120.436
Santa Monica,34.0195,-118.491
Santa Paula,34.3542,-119.059
Santa Rosa,38.4405,-122.714
Santee,32.8384,-116.974
Saratoga,37.2638,-122.023
Sausalito,37.8591,-122.485
Scotts Valley,37.0511,-122.015
Seal Beach,33.7414,-118.105
Searles Valley,35.7675,-117.404
Seaside,36.6111,-121.852
Sebastopol,38.4021,-122.824
Selma,36.5708,-119.612
Shackelford,37.6138,-120.993
Shafter,35.5005,-119.272
Shandon,35.6552,-120.375
Shasta Lake,40.6804,-122.371
Shingletown,40.4924,-121.889
Sierra Madre,34.1617,-118.053
Signal Hill,33.8045,-118.168
Simi Valley,34.2694,-118.781
Solana Beach,32.9912,-117.271
Soledad,36.4247,-121.326
Solvang,34.5958,-120.138
Sonoma,38.2919,-122.458
Sonora,37.9841,-120.382
Soquel,36.988,-121.957
South El Monte,34.052,-118.047
South Gate,33.9547,-118.212
South Lake Tahoe,38.9332,-119.984
South Oroville,39.4966,-121.552
South Pasadena,34.1161,-118.15
South San Francisco,37.6547,-122.408
South San Gabriel,34.0625,-118.09
South San Jose Hills,34.0128,-117.905
South Whittier,33.9608,-118.042
South Yuba City,39.1166,-121.639
Spring Valley,32.7448,-116.999
Stanford,37.4241,-122.166
Stanton,33.8025,-117.993
Stockton,37.9577,-121.291
Strawberry,38.1982,-120.009
Suisun City,38.2382,-122.04
Sun City,33.7092,-117.197
Sunnyvale,37.3688,-122.036
Susanville,40.4163,-120.653
Taft,35.1425,-119.457
Tara Hills,37.9935,-122.316
Tecopa,35.8483,-116.226
Tehachapi,35.1322,-118.449
Temecula,33.4936,-117.148
Temple City,34.1072,-118.058
Templeton,35.5497,-120.706
Tennant,41.5838,-121.913
Thermalito,39.5113,-121.587
Thousand Oaks,34.1706,-118.838
Thousand Palms,33.82,-116.39
Tiburon,37.8735,-122.457
Tierra Buena,39.1488,-121.667
Torrance,33.8358,-118.341
Tracy,37.7397,-121.425
Truckee,39.328,-120.183
Tulare,36.2077,-119.347
Tulelake,41.956,-121.477
Turlock,37.4947,-120.847
Tustin,33.7458,-117.826
Twentynine Palms,34.1356,-116.054
Twin Lakes,36.9674,-121.998
Ukiah,39.1502,-123.208
Union City,37.5958,-122.019
Upland,34.0975,-117.648
Vacaville,38.3566,-121.988
Valinda,34.0453,-117.944
Valle Vista,33.7478,-116.893
Vallejo,38.1041,-122.257
Valley Center,33.2184,-117.034
Vandenberg Village,34.7083,-120.468
Ventura,34.2783,-119.293
Victorville,34.5361,-117.291
Villa Park,33.8145,-117.813
Vincent,34.5005,-118.116
Visalia,36.3302,-119.292
Vista,33.2,-117.243
Waldon,37.9263,-122.056
Walnut,34.0203,-117.865
Walnut Creek,37.9063,-122.065
Walnut Park,33.9681,-118.225
Wasco,35.5941,-119.341
Waterford,37.6413,-120.76
Watsonville,36.9102,-121.757
Weaverville,40.731,-122.942
Weldon,35.6658,-118.29
West Athens,33.9233,-118.303
West Carson,33.8217,-118.293
West Compton,33.8939,-118.271
West Covina,34.0686,-117.939
West Hollywood,34.09,-118.362
West Puente Valley,34.0517,-117.968
West Sacramento,38.5805,-121.53
Westlake Village,34.1458,-118.806
Westminster,33.7592,-118.007
Westmont,33.9414,-118.302
Whittier,33.9792,-118.033
Wildomar,33.5989,-117.28
Willits,39.4096,-123.356
Willow Creek,40.9396,-123.631
Willowbrook,33.917,-118.255
Willows,39.5243,-122.194
Windsor,38.5471,-122.816
Winter Gardens,32.8312,-116.933
Winterhaven,32.7395,-114.635
Winters,38.5249,-121.971
Winton,37.3894,-120.613
Woodcrest,33.8822,-117.357
Woodlake,36.4136,-119.099
Woodland,38.6785,-121.773
Woodside,37.4299,-122.254
Wrightwood,34.3608,-117.633
Yorba Linda,33.8886,-117.813
Yosemite Lakes,37.1911,-119.773
Yreka,41.7354,-122.634
Yuba City,39.1404,-121.617
Yucaipa,34.0336,-117.043
Yucca Valley,34.1142,-116.432
