<SIZE>482
<LANG>EN
<STATE>Florida,FL
Orlando,28.5383,-81.3792
Orlovista,28.5383,-81.4604
Ormond Beach,29.2858,-81.0559
Ormond-by-the-Sea,29.3491,-81.0664
Osprey,27.1962,-82.4904
Oviedo,28.67,-81.2081
Pace,30.5994,-87.1611
Pahokee,26.8201,-80.6653
Paisley,28.9836,-81.5417
Palatka,29.6486,-81.6376
Palm Bay,28.0345,-80.5887
Palm Beach,26.7056,-80.0364
Palm Beach Gardens,26.8234,-80.1387
Palm City,27.1678,-80.2662
Palm Coast,29.585,-81.2078
Palm Harbor,28.0781,-82.7637
Palm Springs,26.6359,-80.0962
Palm Springs North,25.9309,-80.3284
Palm Valley,30.1775,-81.3876
Palmetto,27.5214,-82.5723
Palmetto Estates,25.6215,-80.362
Panama City,30.1588,-85.6602
Panama City Beach,30.1766,-85.8055
Parkland,26.3101,-80.2373
Paxton,30.9816,-86.3074
Pebble Creek,28.1483,-82.3456
Pelican Bay,26.2312,-81.8056
Pembroke Park,25.9879,-80.1748
Pembroke Pines,26.0031,-80.2239
Pensacola,30.4213,-87.2169
Perry,30.1174,-83.5818
Pierson,29.2394,-81.4656
Pine Castle,28.4719,-81.3679
Pine Hills,28.5578,-81.4534
Pine Island Ridge,26.0948,-80.2739
Pine Ridge,28.9383,-82.4734
Pinecrest,25.667,-80.3081
Pinellas Park,27.8428,-82.6995
Pinewood,25.869,-80.217
Placid Lakes,27.2414,-81.407
Plant City,28.0186,-82.1129
Plantation,26.1276,-80.2331
Poinciana,28.1403,-81.4584
Pompano Beach,26.2379,-80.1248
Pompano Beach Highlands,26.2829,-80.107
Port Charlotte,26.9762,-82.0906
Port Orange,29.1383,-80.9956
Port Saint Joe,29.8119,-85.303
Port Saint John,28.4769,-80.7887
Port Saint Lucie,27.2939,-80.3503
Port Salerno,27.1442,-80.2006
Princeton,25.5384,-80.4089
Punta Gorda,26.9298,-82.0454
Punta Gorda Isles,26.9176,-82.0784
Quincy,30.5871,-84.5832
Reddick,29.3666,-82.1973
Richmond Heights,25.6315,-80.3689
Richmond West,25.6104,-80.4295
Ridge Manor,28.5075,-82.1704
Ridge Wood Heights,27.2873,-82.5132
Riverview,27.8661,-82.3265
Riviera Beach,26.7753,-80.0581
Rockledge,28.3508,-80.7253
Rotonda,26.8837,-82.2901
Royal Palm Beach,26.7084,-80.2306
Ruskin,27.7209,-82.4332
Safety Harbor,27.9909,-82.6932
Saint Augustine,29.8947,-81.3145
Saint Augustine Beach,29.8505,-81.2654
Saint Augustine Shores,29.8108,-81.3103
Saint Cloud,28.2489,-81.2812
Saint James City,26.4976,-82.0784
Saint Marks,30.161,-84.2063
Saint Pete Beach,27.7253,-82.7412
Saint Petersburg,27.7709,-82.6793
San Carlos Park,26.4673,-81.8015
Sandalfoot Cove,26.3392,-80.1875
Sanford,28.8005,-81.2731
Sanibel,26.449,-82.0223
Sarasota,27.3364,-82.5307
Sarasota Springs,27.3089,-82.4795
Satellite Beach,28.1761,-80.59
Sawgrass,30.1927,-81.3706
Scott Lake,25.9415,-80.232
Sebastian,27.8164,-80.4706
Sebring,27.4956,-81.4409
Seffner,27.9836,-82.2757
Seminole,27.8397,-82.7912
Shady Hills,28.41,-82.5429
Siesta Key,27.302,-82.5515
Silver Springs Shores,29.1044,-82.0206
Sky Lake,28.4572,-81.3915
Sopchoppy,30.0599,-84.4888
South Apopka,28.6619,-81.5095
South Bradenton,27.4631,-82.5818
South Daytona,29.1658,-81.0045
South Gate Ridge,27.2864,-82.4968
South Highpoint,27.917,-82.7129
South Miami,25.7076,-80.2934
South Miami Heights,25.5976,-80.3806
South Pasadena,27.755,-82.7376
South Patrick Shores,28.2022,-80.6095
South Sarasota,27.2862,-82.5329
South Venice,27.0531,-82.4243
Southchase,28.3931,-81.3834
Southgate,27.3081,-82.5098
Southwest Ranches,26.0587,-80.3373
Spring Hill,28.5558,-82.4504
Springfield,30.1533,-85.6113
Stanford,28.8,-81.3
Starke,29.9441,-82.1098
Stuart,27.1975,-80.2528
Sugarmill Woods,28.7322,-82.5062
Sun City Center,27.7181,-82.3518
Suncoast Estates,26.7117,-81.869
Sunny Isles Beach,25.9506,-80.1228
Sunrise,26.134,-80.1131
Sunset,25.7059,-80.3523
Sweetwater,25.7634,-80.3731
Tallahassee,30.4383,-84.2807
Tamarac,26.2129,-80.2498
Tamiami,25.7587,-80.3984
Tampa,27.9475,-82.4584
Tarpon Springs,28.1461,-82.7568
Tavares,28.8042,-81.7256
Temple Terrace,28.0353,-82.3893
Tequesta,26.9681,-80.1287
The Crossings,25.6707,-80.4012
The Hammocks,25.6715,-80.4445
The Meadows,27.3617,-82.469
The Villages,28.9336,-81.9484
Thonotosassa,28.0614,-82.3023
Three Lakes,25.642,-80.3984
Timber Pines,28.4703,-82.6032
Titusville,28.6122,-80.8076
Town 'n' Country,28.0106,-82.5773
Treasure Island,27.7692,-82.769
Union Park,28.5681,-81.2862
University Park,25.7465,-80.3676
Upper Grand Lagoon,30.1633,-85.7408
Valparaiso,30.5085,-86.5027
Valrico,27.9459,-82.2579
Vamo,27.222,-82.4979
Venice,27.0998,-82.4543
Venice Gardens,27.0731,-82.4076
Vernon,30.623,-85.7122
Vero Beach,27.6386,-80.3973
Villas,26.5504,-81.8687
Wahneta,27.9528,-81.727
Warm Mineral Springs,27.0598,-82.2601
Warrington,30.3841,-87.275
Wauchula,27.5473,-81.8115
Wedgefield,28.4878,-81.0773
Wekiva Springs,28.6986,-81.4256
Wekiwa Springs,28.6986,-81.4256
Wellington,26.6587,-80.2414
Wesley Chapel,28.2397,-82.3279
West Chase,28.055,-82.6098
West Little River,25.857,-80.237
West Melbourne,28.0717,-80.6534
West Miami,25.7634,-80.2962
West Palm Beach,26.7153,-80.0534
West Pensacola,30.4266,-87.2797
West Perrine,25.6059,-80.3628
West Samoset,27.4695,-82.5568
West Vero Corridor,27.6395,-80.4817
West and East Lealman,27.8211,-82.6793
Westchester,25.7548,-80.3273
Weston,26.1004,-80.3998
Westview,25.882,-80.242
Westville,30.7746,-85.8516
Westwood Lake,25.7293,-80.3728
Wewahitchka,30.1127,-85.2005
Whisper Walk,26.3962,-80.1881
Williamsburg,28.4145,-81.4428
Williston,29.3875,-82.4468
Willow Oak,27.9161,-82.0179
Wilton Manors,26.1604,-80.1389
Wimauma,27.7125,-82.299
Winston,28.0317,-82.0148
Winter Garden,28.5653,-81.5862
Winter Haven,28.0222,-81.7329
Winter Park,28.6,-81.3392
Winter Springs,28.6989,-81.3081
Wright,30.4558,-86.6383
Yankeetown,29.03,-82.7159
Yeehaw Junction,27.7003,-80.9042
Yulee,30.6319,-81.6065
Zephyrhills,28.2336,-82.1812
