<SIZE>312
<LANG>EN
<STATE>Minnesota,MN
Mahnomen,47.3152,-95.9687
Mahtomedi,45.0697,-92.9516
Mankato,44.1636,-93.9994
Maple Grove,45.0725,-93.4558
Mapleton,43.9289,-93.9561
Maplewood,44.953,-92.9952
Marshall,44.4469,-95.7884
McGrath,46.2399,-93.2725
McGregor,46.6066,-93.3138
Meadowlands,47.0719,-92.7324
Mendota Heights,44.8836,-93.1383
Milaca,45.7558,-93.6544
Minneapolis,44.98,-93.2638
Minneiska,44.195,-91.8718
Minnetonka,44.9133,-93.5033
Minnetonka Mills,44.9411,-93.4419
Minnetrista,44.9383,-93.7177
Montevideo,44.9425,-95.7236
Monticello,45.3055,-93.7941
Moorhead,46.8739,-96.7676
Moose Lake,46.4541,-92.7619
Mora,45.8769,-93.2938
Morgan,44.4169,-94.9255
Morris,45.5861,-95.9139
Mound,44.9366,-93.6661
Mounds View,45.105,-93.2086
Nassau,45.0664,-96.4398
Naytahwaush,47.2627,-95.6261
New Brighton,45.0655,-93.2019
New Hope,45.038,-93.3866
New London,45.3011,-94.9442
New Prague,44.5433,-93.5761
New Richland,43.8938,-93.4938
New Ulm,44.3125,-94.4605
Newfolden,48.3555,-96.33
North Branch,45.5114,-92.9802
North Mankato,44.1733,-94.0338
North Saint Paul,45.0125,-92.9919
Northfield,44.4583,-93.1616
Oak Grove,45.3408,-93.3269
Oakdale,44.963,-92.9649
Okabena,43.7394,-95.3158
Oklee,47.8391,-95.8545
Olivia,44.7763,-94.9897
Onamia,46.0705,-93.6677
Orono,44.9714,-93.6044
Orr,48.0535,-92.831
Ortonville,45.3047,-96.4448
Oslo,48.1953,-97.132
Otsego,45.2741,-93.5913
Owatonna,44.0839,-93.226
Park Rapids,46.9222,-95.0586
Parkers Prairie,46.153,-95.3289
Paynesville,45.3805,-94.7119
Pelican Rapids,46.5708,-96.0831
Perham,46.5944,-95.5725
Pierz,45.9816,-94.1047
Pine City,45.8261,-92.9685
Pine Island,44.2014,-92.6463
Pine Point,46.9777,-95.3836
Pine River,46.718,-94.4042
Pipestone,44.0005,-96.3175
Plainview,44.165,-92.1716
Plymouth,45.0105,-93.4555
Preston,43.6702,-92.0832
Princeton,45.57,-93.5816
Prior Lake,44.7133,-93.4227
Ramsey,45.2611,-93.45
Red Lake,47.8763,-95.0169
Red Lake Falls,47.8822,-96.2742
Red Wing,44.5625,-92.5338
Redwood Falls,44.5394,-95.1169
Remer,47.0561,-93.9161
Richfield,44.8833,-93.283
Robbinsdale,45.0322,-93.3386
Rochester,44.0216,-92.4699
Roseau,48.8461,-95.7628
Rosemount,44.7394,-93.1258
Roseville,45.0061,-93.1566
Rushford,43.8083,-91.7529
Saint Anthony,45.0205,-93.218
Saint Charles,43.9694,-92.0643
Saint Cloud,45.5608,-94.1625
Saint Francis,45.3869,-93.3594
Saint James,43.9825,-94.6269
Saint Joseph,45.565,-94.3183
Saint Louis Park,44.9483,-93.348
Saint Michael,45.21,-93.665
Saint Paul,44.9444,-93.0933
Saint Peter,44.3236,-93.958
Saint Vincent,48.9678,-97.2251
Sandstone,46.1311,-92.8674
Sartell,45.6216,-94.2069
Sauk Centre,45.7375,-94.9525
Sauk Rapids,45.5919,-94.1661
Savage,44.7791,-93.3363
Sebeka,46.63,-95.0889
Shakopee,44.798,-93.5269
Sherburn,43.6522,-94.7269
Shoreview,45.0791,-93.1472
Shorewood,44.9008,-93.5891
Silver Bay,47.2944,-91.2574
Slayton,43.9877,-95.7558
Sleepy Eye,44.2972,-94.7242
South Saint Paul,44.8927,-93.0349
Spring Lake Park,45.1077,-93.238
Spring Valley,43.6869,-92.3891
Springfield,44.2388,-94.9758
Squaw Lake,47.6325,-94.1363
Staples,46.3555,-94.7922
Stephen,48.45,-96.8726
Stewartville,43.8555,-92.4885
Stillwater,45.0564,-92.806
Taunton,44.5936,-96.0659
Taylors Falls,45.4019,-92.6524
Thief River Falls,48.1191,-96.1811
Tower,47.8055,-92.2746
Tracy,44.2333,-95.6192
Two Harbors,47.0227,-91.6707
Tyler,44.2783,-96.1348
Ulen,47.0788,-96.2589
Upsala,45.8108,-94.5714
Vadnais Heights,45.0575,-93.0738
Vesta,44.5077,-95.4164
Victoria,44.8586,-93.6616
Virginia,47.5233,-92.5366
Wabasha,44.3839,-92.0329
Waconia,44.8508,-93.7869
Wadena,46.4425,-95.1361
Waite Park,45.5572,-94.2242
Walker,47.1013,-94.5872
Warba,47.1288,-93.2666
Warren,48.1966,-96.7728
Warroad,48.9053,-95.3144
Waseca,44.0777,-93.5074
Watkins,45.3152,-94.4086
Wells,43.7461,-93.7288
West Coon Rapids,45.1597,-93.3497
West Saint Paul,44.9161,-93.1016
Westbrook,44.0422,-95.4361
Wheaton,45.8044,-96.4992
White Bear Lake,45.0847,-93.0099
White Earth,47.0966,-95.8434
Williams,48.7683,-94.9552
Willmar,45.1219,-95.0433
Windom,43.8663,-95.1169
Winona,44.05,-91.6393
Woodbury,44.9239,-92.9594
Worthington,43.62,-95.5964
