<SIZE>199
<LANG>EN
<STATE>Virginia,VA
Seven Corners,38.8721,-77.1553
Smithfield,36.9824,-76.6311
South Boston,36.6987,-78.9014
South Hill,36.7265,-78.1289
South Suffolk,36.7171,-76.5902
Springfield,38.7893,-77.1872
Stanardsville,38.2974,-78.44
Staunton,38.1496,-79.0717
Sterling,39.0062,-77.4286
Stewart,39.2,-81.5
Stony Creek,36.9479,-77.4008
Stuarts Draft,38.0301,-79.0336
Sudley,38.7929,-77.4975
Suffolk,36.7282,-76.5836
Tangier,37.8262,-75.9916
Tappahannock,37.9254,-76.8591
Tazewell,37.1148,-81.5196
Timberlake,37.3207,-79.2575
Timberville,38.639,-78.7739
Triangle,38.5468,-77.3366
Tuckahoe,37.5901,-77.5564
Tysons Corner,38.9187,-77.2311
Victoria,36.9949,-78.2272
Vienna,38.9012,-77.2653
Vinton,37.281,-79.897
Virgilina,36.5435,-78.775
Virginia Beach,36.8529,-75.978
Warrenton,38.7135,-77.7953
Washington,38.7135,-78.1594
Waverly,37.036,-77.0952
Waynesboro,38.0685,-78.8895
West Gate,38.7829,-77.4975
West Lynchburg,37.4032,-79.1781
West Point,37.5315,-76.7963
West Springfield,38.7726,-77.2211
Williamsburg,37.2707,-76.7075
Winchester,39.1857,-78.1633
Wolf Trap,38.9398,-77.2861
Woodbridge,38.6582,-77.2497
Woodstock,38.8818,-78.5058
Wyndham,37.6985,-77.6125
Wytheville,36.9485,-81.0848
Yorkshire,38.7932,-77.4478
