<SIZE>206
<LANG>EN
<STATE>Oklahoma,OK
Leedey,35.87,-99.3468
Leon,33.8793,-97.4292
Lindsay,34.8348,-97.6025
Lone Grove,34.1754,-97.2628
Longtown,35.2454,-95.5128
Loyal,35.9711,-98.1209
Madill,34.0904,-96.7717
Manchester,36.9939,-98.0376
Mangum,34.872,-99.5043
Mannford,36.1334,-96.3545
Marietta,33.937,-97.1167
Marshall,36.1539,-97.6256
McAlester,34.9334,-95.7697
McBride,33.9354,-96.6333
Medford,36.807,-97.7337
Miami,36.8745,-94.8775
Midwest City,35.4495,-97.3967
Moore,35.3395,-97.4867
Mulhall,36.0648,-97.407
Muskogee,35.7479,-95.3697
Mustang,35.3842,-97.7245
Nash,36.6661,-98.0503
Newcastle,35.2473,-97.5998
Noble,35.1392,-97.3948
Norman,35.2226,-97.4395
Nowata,36.7006,-95.638
Okeene,36.1161,-98.317
Okemah,35.4326,-96.305
Oklahoma City,35.4676,-97.5164
Okmulgee,35.6234,-95.9605
Owasso,36.2695,-95.8547
Pauls Valley,34.7401,-97.2222
Pawhuska,36.6678,-96.3372
Pawnee,36.3378,-96.8039
Perry,36.2895,-97.2881
Pin Oaks Acres,36.129,-95.2705
Pocola,35.2312,-94.478
Ponca City,36.707,-97.0856
Poteau,35.0537,-94.6236
Prague,35.4867,-96.685
Pryor,36.3084,-95.3169
Purcell,35.0137,-97.3611
Putnam,35.8556,-98.9684
Quinlan,36.4545,-99.0454
Randlett,34.1773,-98.4637
Red Oak,34.9509,-95.0802
Red Rock,36.4592,-97.1789
Reydon,35.6537,-99.919
Roland,35.4212,-94.5147
Roosevelt,34.8487,-99.0217
Rush Springs,34.7826,-97.957
Sallisaw,35.4604,-94.7874
Sand Springs,36.1398,-96.1089
Sapulpa,35.9987,-96.1142
Sayre,35.2912,-99.6401
Seiling,36.1481,-98.9243
Seminole,35.2245,-96.6706
Shattuck,36.2759,-99.8812
Shawnee,35.3273,-96.9253
Shidler,36.782,-96.6611
Skiatook,36.3684,-96.0014
Smithville,34.4668,-94.6438
Snyder,34.659,-98.9517
South Coffeyville,36.9945,-95.6203
Stigler,35.2537,-95.123
Stillwater,36.1156,-97.0584
Stilwell,35.8145,-94.6286
Stratford,34.7967,-96.9595
Stroud,35.7487,-96.6581
Stuart,34.9015,-96.0989
Sulphur,34.5079,-96.9684
Sweetwater,35.4223,-99.9115
Sycamore,36.4051,-94.7133
Tahlequah,35.9154,-94.97
Talihina,34.7515,-95.048
Tecumseh,35.2579,-96.9367
Terral,33.8968,-97.9364
Texhoma,36.505,-101.783
The Village,35.5609,-97.5514
Thomas,35.7442,-98.7476
Tryon,35.8698,-96.9639
Tulsa,36.154,-95.9928
Tupelo,34.6048,-96.4242
Tuttle,35.2909,-97.8123
Velma,34.4601,-97.6739
Vici,36.1498,-99.2982
Vinita,36.6387,-95.1541
Wagoner,35.9595,-95.3694
Walters,34.3598,-98.3078
Wapanucka,34.374,-96.4244
Warr Acres,35.5226,-97.6189
Watonga,35.8448,-98.4131
Waurika,34.167,-97.9975
Waynoka,36.5823,-98.8798
Weatherford,35.5262,-98.7076
West Siloam Springs,36.1762,-94.5749
Westville,35.9926,-94.568
Wetumka,35.2376,-96.2417
Wilburton,34.9187,-95.3091
Willow,35.0514,-99.5095
Woodward,36.4336,-99.3904
Wright City,34.0601,-95.0033
Yukon,35.5067,-97.7625
