<SIZE>235
<LANG>EN
<STATE>Georgia,GA
Fort Oglethorpe,34.949,-85.2569
Fort Valley,32.5538,-83.8874
Franklin,33.2776,-85.098
Franklin Springs,34.2848,-83.1443
Gainesville,34.2979,-83.8241
Garden City,32.1144,-81.154
Garfield,32.6499,-82.0982
Georgetown,31.9833,-81.2273
Glennville,31.9366,-81.9285
Gordon,32.8821,-83.3324
Gray,33.0096,-83.5338
Greensboro,33.5757,-83.1824
Greenville,33.0287,-84.713
Gresham Park,33.7034,-84.3144
Griffin,33.2468,-84.2641
Grovetown,33.4504,-82.1982
Gumlog,34.4918,-83.0965
Hapeville,33.6601,-84.4102
Hartwell,34.3529,-82.9321
Hazlehurst,31.8696,-82.5943
Hiawassee,34.9493,-83.7574
Hinesville,31.8469,-81.5959
Homerville,31.0366,-82.7471
Irondale,33.4807,-84.3588
Jackson,33.2946,-83.966
Jacksonville,31.8127,-82.979
Jasper,34.4679,-84.4291
Jeffersonville,32.6876,-83.3466
Jesup,31.6074,-81.8854
Kennesaw,34.0234,-84.6155
Kingsland,30.8,-81.6898
LaGrange,33.0393,-85.0313
LaFayette,34.7048,-85.2819
Lakeland,31.041,-83.0751
Lawrenceville,33.9562,-83.988
Leary,31.4857,-84.5138
Lilburn,33.8901,-84.143
Lincolnton,33.7923,-82.479
Loganville,33.839,-83.9007
Louisville,33.0015,-82.4112
Mableton,33.8187,-84.5824
Macon,32.8407,-83.6324
Madison,33.5957,-83.4679
Manchester,32.8599,-84.6199
Marietta,33.9526,-84.5499
Martinez,33.5174,-82.0757
McDonough,33.4473,-84.1469
Meigs,31.0724,-84.0891
Metter,32.3971,-82.0601
Midville,32.819,-82.2348
Milan,32.0174,-83.0627
Milledgeville,33.0801,-83.2321
Millen,32.8041,-81.9493
Mitchell,33.2199,-82.7032
Molena,33.0121,-84.5002
Monroe,33.7948,-83.7132
Montezuma,32.3052,-84.0274
Monticello,33.3048,-83.6832
Montrose,32.5596,-83.1532
Moultrie,31.1799,-83.7891
Mount Zion,33.3613,-83.0077
Nahunta,31.2044,-81.9812
Newington,32.5902,-81.504
Newnan,33.3807,-84.7997
Norcross,33.9412,-84.2135
North Atlanta,33.8651,-84.3366
North Decatur,33.7904,-84.306
North Druid Hills,33.8168,-84.3133
Omaha,32.1463,-85.0133
Panthersville,33.7073,-84.2719
Patterson,31.3874,-82.1401
Pavo,30.9599,-83.7379
Peachtree City,33.3968,-84.5958
Pearson,31.2977,-82.8524
Pembroke,32.136,-81.6221
Perry,32.4582,-83.7316
Pine Mountain,32.8649,-84.8541
Pineview,32.1102,-83.501
Pooler,32.1155,-81.2471
Powder Springs,33.8596,-84.6838
Quitman,30.7849,-83.5599
Redan,33.7454,-84.1316
Reidsville,32.0869,-82.1179
Richland,32.0879,-84.6674
Richmond Hill,31.9383,-81.3034
Rincon,32.296,-81.2354
Riverdale,33.5726,-84.4133
Roberta,32.7218,-84.0132
Rockmart,34.0026,-85.0416
Rome,34.257,-85.1647
Roswell,34.0232,-84.3616
Saint Marys,30.7305,-81.5465
Saint Simon Mills,31.1708,-81.4073
Saint Simons,31.1352,-81.3901
Sandersville,32.9815,-82.8101
Sandy Springs,33.9243,-84.3785
Sardis,32.9752,-81.7576
Savannah,32.0835,-81.0998
Scottdale,33.7898,-84.2641
Skidaway Island,31.9349,-81.0471
Smyrna,33.884,-84.5144
Snellville,33.8573,-84.0199
Soperton,32.3771,-82.5924
Statesboro,32.4488,-81.7832
Stockbridge,33.5443,-84.2338
Stone Mountain,33.8082,-84.1702
Sugar Hill,34.1065,-84.0335
Summerville,34.4806,-85.3477
Suwanee,34.0515,-84.0713
Swainsboro,32.5974,-82.3337
Sylvania,32.7504,-81.6368
Sylvester,31.5307,-83.8355
Talbotton,32.6776,-84.5394
Talmo,31.3133,-82.569
Thomaston,32.8882,-84.3266
Thomasville,30.8366,-83.9788
Thomson,33.4707,-82.5046
Tifton,31.4505,-83.5085
Toccoa,34.5773,-83.3324
Toomsboro,32.8268,-83.0793
Trenton,34.872,-85.5091
Tucker,33.8545,-84.2171
Unadilla,32.2616,-83.7366
Union City,33.5871,-84.5424
Uvalda,32.0357,-82.5082
Valdosta,30.8327,-83.2785
Vidalia,32.2177,-82.4135
Villa Rica,33.7321,-84.9191
Vinings,33.8648,-84.4644
Warner Robins,32.621,-83.5999
Washington,33.7368,-82.7393
Waycross,31.2136,-82.354
Waynesboro,33.0899,-82.0157
West Point,32.8779,-85.1833
Whitemarsh Island,32.0288,-81.0168
Wilmington Island,32.0035,-80.9737
Winder,33.9926,-83.7202
Woodstock,34.1015,-84.5194
Wrens,33.2076,-82.3918
Wrightsville,32.7293,-82.7199
