<SIZE>292
<LANG>EN
<STATE>Missouri,MO
Warsaw,38.2431,-93.3819
Washington,38.5581,-91.0121
Watson,40.4769,-95.6205
Webb City,37.1464,-94.463
Webster Groves,38.5926,-90.3573
Weldon Spring,38.7134,-90.6893
Wentzville,38.8114,-90.8529
West Plains,36.7281,-91.8524
Whiteside,39.1853,-91.0168
Wildwood,38.5828,-90.6629
Willow Springs,36.9923,-91.9699
Windsor,38.5322,-93.5222
Winona,37.0098,-91.3235
