<SIZE>206
<LANG>EN
<STATE>North Carolina,NC
Roanoke Rapids,36.4615,-77.6541
Robbins,35.434,-79.587
Rockingham,34.9393,-79.7739
Rocky Mount,35.9382,-77.7905
Rowland,34.5366,-79.2914
Roxboro,36.3938,-78.9828
Royal Pines,35.4751,-82.516
Saint Stephens,35.7646,-81.2731
Salisbury,35.671,-80.4742
Sanford,35.4799,-79.1803
Scotland Neck,36.1296,-77.4202
Selma,35.5365,-78.2844
Seven Springs,35.2274,-77.8469
Shelby,35.2924,-81.5356
Siler City,35.7235,-79.4622
Silver Lake,34.1488,-77.9136
Smithfield,35.5085,-78.3394
Snow Hill,35.4515,-77.6811
South Gastonia,35.2193,-81.2056
Southern Pines,35.174,-79.3923
Sparta,36.5054,-81.1209
Spring Hope,35.9452,-78.1119
Spring Lake,35.1679,-78.9728
Spruce Pine,35.9154,-82.0646
Statesville,35.7826,-80.8873
Summerfield,35.5682,-77.4027
Sunset Beach,33.8807,-78.5122
Surf City,34.4271,-77.5461
Tabor City,34.1488,-78.8767
Tar Heel,34.7332,-78.79
Tarboro,35.8968,-77.5358
Thomasville,35.8826,-80.082
Trinity,35.8946,-79.9909
Troy,35.3585,-79.8945
Tryon,35.2082,-82.2384
Unionville,35.0874,-80.509
Vanceboro,35.3085,-77.1541
Wadesboro,34.9682,-80.0767
Wake Forest,35.9799,-78.5097
Wallace,34.7357,-77.9953
Wanchese,35.8427,-75.6385
Warsaw,34.9993,-78.0911
Washington,35.5466,-77.0522
Waynesville,35.4887,-82.9887
Weddington,35.0224,-80.7609
West Raleigh,35.7868,-78.6639
Whiteville,34.3388,-78.7031
Williamston,35.8546,-77.0555
Wilmington,34.2257,-77.9447
Wilson,35.7213,-77.9155
Winfall,36.219,-76.4638
Winston-Salem,36.0999,-80.2442
Yadkinville,36.1346,-80.6595
Yanceyville,36.404,-79.3361
