<SIZE>239
<LANG>EN
<STATE>Wisconsin,WI
Lynxville,43.2464,-91.0562
Madison,43.0731,-89.4012
Manitowoc,44.0886,-87.6576
Marinette,45.1,-87.6307
Marshfield,44.6689,-90.1718
Mason,46.4352,-91.0599
Mayville,43.4942,-88.5448
McFarland,43.0125,-89.2898
Medford,45.1386,-90.3401
Mellen,46.3255,-90.661
Melrose,44.1305,-90.9982
Menasha,44.2022,-88.4465
Menomonee Falls,43.1789,-88.1173
Menomonie,44.8755,-91.9193
Mequon,43.2364,-87.9845
Merrill,45.1805,-89.6835
Middleton,43.0972,-89.5043
Milladore,44.6041,-89.8549
Milton,42.7756,-88.944
Milwaukee,43.0389,-87.9065
Minong,46.0994,-91.8249
Mondovi,44.5677,-91.671
Monona,43.0622,-89.334
Monroe,42.6011,-89.6385
Montello,43.7914,-89.3198
Mount Horeb,43.0086,-89.7385
Mukwonago,42.8667,-88.3334
Muskego,42.9058,-88.139
Neenah,44.1858,-88.4626
Neillsville,44.56,-90.5963
Neopit,44.9808,-88.8309
New Berlin,42.9764,-88.1084
New Glarus,42.8144,-89.6351
New Lisbon,43.8791,-90.1654
New London,44.3928,-88.7398
New Post,45.8958,-91.186
New Richmond,45.123,-92.5366
Niagara,45.7713,-87.9949
North Fond du Lac,43.8114,-88.4834
North La Crosse,43.8464,-91.2482
Oak Creek,42.8858,-87.8631
Oconomowoc,43.1117,-88.4993
Oconto,44.8872,-87.8645
Oconto Falls,44.8739,-88.1429
Onalaska,43.8844,-91.2351
Oregon,42.9261,-89.3846
Osceola,45.3205,-92.7049
Oshkosh,44.0247,-88.5426
Osseo,44.5722,-91.2274
Oxford,43.7814,-89.5726
Park Falls,45.9344,-90.4416
Pepin,44.4411,-92.1479
Pewaukee,43.0806,-88.2612
Phillips,45.6966,-90.4004
Pittsville,44.4391,-90.1246
Plainfield,44.2139,-89.4923
Platteville,42.7342,-90.4785
Pleasant Prairie,42.5531,-87.9334
Plover,44.4564,-89.544
Plymouth,43.7486,-87.977
Port Washington,43.3872,-87.8756
Portage,43.5392,-89.4626
Prairie Farm,45.2372,-91.9816
Prairie du Chien,43.0517,-91.1412
Prairie du Sac,43.2869,-89.724
Racine,42.7261,-87.7829
Reedsburg,43.5325,-90.0026
Reedsville,44.1536,-87.9568
Rhinelander,45.6366,-89.4121
Rib Lake,45.3175,-90.2085
Rib Mountain,44.9127,-89.6754
Rice Lake,45.5061,-91.7382
Richfield,43.2561,-88.194
Richland Center,43.3347,-90.3868
Rio,43.4478,-89.2398
Ripon,43.8422,-88.8359
River Falls,44.8614,-92.6238
Rosholt,44.6278,-89.3087
Saint Francis,42.9675,-87.8776
Salem,42.5547,-88.1109
Shawano,44.7822,-88.609
Sheboygan,43.7508,-87.7145
Sheboygan Falls,43.7292,-87.8106
Shorewood,43.0892,-87.8876
Silver Lake,44.0553,-89.2262
Sister Bay,45.1872,-87.1209
Soldiers Grove,43.3953,-90.7743
Solon Springs,46.3533,-91.8224
Somers,42.6403,-87.9104
South Milwaukee,42.9106,-87.8606
Sparta,43.9441,-90.8129
Spooner,45.8224,-91.8893
Spring Green,43.1753,-90.0679
Stanley,44.96,-90.9371
Stevens Point,44.5236,-89.5746
Stoughton,42.9169,-89.2179
Sturgeon Bay,44.8342,-87.377
Sturtevant,42.6981,-87.8945
Suamico,44.6319,-88.0393
Sun Prairie,43.1836,-89.2137
Superior,46.7208,-92.1041
Suring,44.9992,-88.372
Sussex,43.1339,-88.222
Tomah,43.9786,-90.504
Tomahawk,45.4711,-89.7299
Twin Lakes,42.5311,-88.2481
Two Rivers,44.1539,-87.5692
Verona,42.9908,-89.5332
Viroqua,43.5569,-90.8887
Watertown,43.1947,-88.729
Waukesha,43.0117,-88.2315
Waunakee,43.1919,-89.4557
Waupaca,44.358,-89.0859
Waupun,43.6333,-88.7296
Wausau,44.9591,-89.6301
Wauwatosa,43.0495,-88.0076
Webster,45.8774,-92.3674
West Allis,43.0167,-88.007
West Bend,43.4253,-88.1834
Weston,44.8908,-89.5476
Weyerhaeuser,45.4236,-91.4085
White Lake,45.1572,-88.7645
Whitefish Bay,43.1133,-87.9001
Whitewater,42.8336,-88.7323
Wind Lake,42.8295,-88.1587
Wisconsin Rapids,44.3836,-89.8173
Withee,44.9564,-90.5976
Wittenberg,44.8272,-89.1696
