<SIZE>474
<LANG>EN
<STATE>RO,RO
Huedin,46.8667,23.05
Hunedoara,45.75,22.9
Huşi,46.6736,28.0594
Hîrlău,47.4333,26.9
Hîrşova,44.6833,27.9333
Ianca,45.1333,27.45
Iara,46.55,23.5167
Iaşi,47.1667,27.6
Iernut,46.45,24.25
Ilia,45.9333,22.65
Imper,46.2167,26.1
Ineu,46.4333,21.85
Intregalde,46.25,23.4167
Ion Luca Caragiale,44.9167,25.7
Isaccea,45.2667,28.4667
Isverna,44.9797,22.6292
Iveşti,45.6833,27.5167
Izvoarele,44.0339,25.7747
Izvoarele Sucevei,47.75,25.1833
Jibou,47.2667,23.25
Jilava,44.3333,26.0781
Jimbolia,45.7914,20.7172
Joiţa,44.4942,25.8539
Leu,44.1833,24
Lieşti,45.6167,27.5167
Lipova,46.0833,21.7
Liteni,47.5667,26.2
Lopătari,45.4833,26.5833
Lovrin,45.9681,20.7703
Luduş,46.4833,24.1
Lugoj,45.6886,21.9031
Lunca Cernii de Jos,45.6333,22.6167
Lunca Ilvei,47.3667,24.9833
Lupeni,45.35,23.2333
Mahmudia,45.0833,29.0833
Malaia,45.35,24.0333
Mangalia,43.8,28.5833
Marghita,47.35,22.3333
Marginea,47.8167,25.8167
Matca,45.85,27.5333
Medgidia,44.25,28.2833
Mediaş,46.1667,24.35
Miercurea-Ciuc,46.35,25.8
Mihail Kogălniceanu,44.3667,28.45
Mihăileşti,44.3267,25.9083
Milcovul,45.65,27.25
Milişăuţi,47.7833,26
Mioveni,44.95,24.95
Miroslava,47.15,27.5167
Mizil,45.0167,26.45
Modelu,44.2,27.3833
Moineşti,46.4667,26.4833
Moisei,47.65,24.55
Moldova Nouă,44.7375,21.6669
Moraviţa,45.2558,21.2703
Moreni,44.9833,25.65
Motru,44.8033,22.9719
Moţăţei,44.0833,23.2
Munteni,45.9333,27.4333
Munteni Buzău,44.6333,26.9833
Murfatlar,44.1833,28.4167
Murgeni,46.2044,28.0197
Mînăstirea,44.2167,26.9
Măcin,45.25,28.15
Măgurele,44.35,26.0333
Măneciu,45.3167,25.9833
Mărgineni-Munteni,46.6,26.9
Mărişel,46.65,23.1333
Mărăşeşti,45.8833,27.2333
Măxineni,45.4,27.6333
Negreşti,46.8333,27.4333
Negreşti-Oaş,47.8667,23.4333
Negru Vodă,43.8167,28.2
Nehoiu,45.4167,26.3
Nereju,45.7167,26.7167
Nicolae Bălcescu,46.4667,26.9167
Novaci-Străini,45.1833,23.6667
Nădlac,46.1667,20.75
Năsăud,47.2833,24.4
Năvodari,44.3167,28.6
Ocna Mureş,46.3833,23.85
Odobeşti,45.7667,27.05
Odorheiu Secuiesc,46.3,25.3
Oituz,46.2,26.6167
Olteniţa,44.0833,26.6333
Oraviţa,45.0325,21.6894
Orbeasca de Sus,44.15,25.3167
Orăştie,45.8333,23.2
Orşova,44.7253,22.3961
Otopeni,44.55,26.0667
Ovidiu,44.2667,28.5667
Oţelu Roşu,45.5333,22.3667
Panciu,45.9,27.0833
Pantelimon,44.45,26.2
Panticeu,47.0333,23.5667
Paşcani,47.25,26.7333
Pechea,45.6333,27.8
Pecica,46.1667,21.0667
Peretu,44.05,25.0833
Petrila,45.45,23.4167
Petroşani,45.4167,23.3667
Piatra,43.8167,25.1667
Piatra Neamţ,46.9167,26.3333
Piatra Şoimului,46.8333,26.4333
Pietroasa,45.8333,22.4
Pietroşani,43.7167,25.6333
Pipirig,47.25,26.0667
Piteşti,44.85,24.8667
Ploieşti,44.95,26.0167
Plopana,46.6833,27.2167
Plopeni,45.0667,25.9833
Plopii Slăviţeştí,43.9667,24.6833
Podu Iloaiei,47.2167,27.2667
Poduri,46.4667,26.5333
Pogoanele,44.9167,27
Poiana Mare,43.9167,23.0667
Poienile de sub Munte,47.8167,24.4333
Popeşti,47.2333,22.4167
Popeşti-Leordeni,44.3833,26.1667
Potlogi,44.55,25.5833
Prejmer,45.7167,25.7667
Preuteşti,47.45,26.4167
Prigor,44.9383,22.1133
Prim Decembrie,44.2908,26.0581
Puchenii Mari,44.8167,26.0833
Pucioasa,45.0833,25.4167
Puieşti,46.4167,27.5
Recaş,45.7989,21.5008
Remetea,46.7833,25.45
Reşiţa,45.3008,21.8892
Roata de Jos,44.4108,25.5433
Roman,46.9167,26.9167
Rovinari,44.9167,23.1833
Roznov,46.8333,26.5167
Roşieşti,46.4333,27.8833
Roşiori de Vede,44.1167,24.9833
Rucăr,45.4,25.1667
Rupea,46.0333,25.2167
Rus,47.2833,23.6
Râmnicu Vâlcea,45.1,24.3667
Rîmnicu Sărat,45.3833,27.05
Râşnov,45.5833,25.45
Răcăciuni,46.3333,26.9833
Răducăneni,46.95,27.9333
Rădăuţi,47.85,25.9167
Răstoliţa,46.9833,25.0333
Răuceşti,47.25,26.4167
Răzvad,44.9333,25.5333
Sadova,43.9,23.95
Salcea,47.65,26.3667
Salcia,45.1833,26.3333
Salonta,46.8,21.65
Sascut,46.2,27.1
Satchinez,45.9375,21.0406
Satu Mare,47.8,22.8833
Scheia,47.65,26.2333
Schitu-Goleşti,45.2,25
Scobinţi,47.3833,26.9333
Scorniceşti,44.5667,24.55
Sebeş,45.9667,23.5667
Sebiş,46.3667,22.1167
Segarcea,44.1,23.75
Seini,47.75,23.2833
Sfântu-Gheorghe,45.8667,25.7833
Sibiu,45.8,24.15
Sighetu Marmaţiei,47.9333,23.8833
Sighişoara,46.2167,24.8
Simeria,45.85,23.0167
Sinaia,45.35,25.55
Siret,47.95,26.0667
Slatina,44.4333,24.3667
Slobozia,44.5667,27.3667
Socol,44.8608,21.3703
Sovata,46.5833,25.0667
Stejari,44.7667,23.6833
Storeşti,47.55,26.8667
Strehaia,44.6167,23.2
Strîmtura,47.7833,24.1333
Suceava,47.6333,26.25
Suciu de Sus,47.4333,24.0333
Sulina,45.15,29.6667
Suraia,45.6833,27.4
Sviniţa,44.4997,22.1061
Sânnicolau Mare,46.0833,20.6333
Sîngeorgiu de Mureş,46.5667,24.6
Sînta Maria,47.6167,27.35
Sîntana,46.35,21.5
Săbăoani,47.0167,26.85
Săcele,45.6167,25.6833
Săcueni,47.35,22.1
Sălcuţa,44.25,23.4333
Sălişte,45.7833,23.8833
Sărmaşu,46.75,24.1667
Săruleşti,44.4167,26.65
Săveni,47.95,26.8667
Săvârşin,46.0167,22.2333
Teaca,46.9167,24.5167
Tecuci,45.8667,27.4167
Teregova,45.15,22.2833
Timişoara,45.7494,21.2272
Tismana,45.05,22.9667
Titu,44.65,25.5333
Tomeşti,47.1167,27.6833
Topolog,44.8833,28.3667
Topoloveni,44.8167,25.0833
Trifeşti,47.45,27.5167
Tufeşti,45.05,27.8167
Tulcea,45.1667,28.8
Tulgheş,46.95,25.7667
Tulnici,45.9167,26.6667
Tuluceşti,45.5667,28.0333
Turceni,44.6833,23.3667
Turda,46.5667,23.7833
Turnu Măgurele,43.75,24.8667
Târgovişte,44.9333,25.45
Târgu Jiu,45.05,23.2833
Târgu Mureş,46.55,24.5667
Tîrgu Cărbuneşti,44.95,23.5167
Tîrgu Frumos,47.2,27
Tîrgu Neamţ,47.2,26.3667
Tîrgu Ocna,46.2833,26.6167
Tîrgu Secuiesc,46,26.1333
Tîrgşoru Vechi,44.8667,25.9167
Tămăşeni,46.9833,26.9333
Tăşnad,47.4833,22.5833
Ucea de Sus,45.75,24.6833
Uivar,45.6581,20.9058
Ulmi,44.4867,25.7803
Ulmu,44.95,27.3167
Uricani,45.3333,23.15
Urlaţi,44.9833,26.2333
Urziceni,44.7167,26.6333
Vadu Paşii,45.1667,26.9
Valea Călugărească,44.9667,26.15
Valea lui Mihai,47.5167,22.15
Valu lui Traian,44.1667,28.4667
Vasilaţi,44.2878,26.4475
Vaslui,46.6333,27.7333
Vatra Dornei,47.35,25.3667
Vaşcău,46.4667,22.4667
Vedea,44.7833,24.6167
Verneşti,45.2167,26.7333
Vicovu de Sus,47.9333,25.6833
Videle,44.2781,25.5244
Vidra,44.2606,26.1697
Vişeu de Sus,47.7167,24.4333
Vladimirescu,46.15,21.4
Voluntari,44.4667,26.1333
Vorona Teodoru,47.55,26.6
Vulcan,45.3833,23.2667
Vulturu de Sus,45.6167,27.4167
Vânju-Mare,44.4253,22.8697
Vînători-Neamţ,47.2,26.3167
Văcăreşti,44.85,25.4833
Văleni,44.2333,24.7833
Vălenii de Munte,45.1833,26.0333
Vărşag,46.5167,25.35
Zalău,47.2,23.05
Zerind,46.6167,21.5167
Zimnicea,43.6667,25.3667
Zlatna,46.1167,23.2167
Zorleni,46.2667,27.7167
Oradea,47.0667,21.9333
Însurăţei,44.9167,27.6
Întorsura Buzăului,45.6833,26.0333
Şeíca Mare,46.0167,24.15
Şimian,44.6142,22.7072
Şimleu Silvaniei,47.2333,22.8
Şiria,46.2667,21.6333
Şomcuta Mare,47.5167,23.4667
Ştefăneşti,44.8667,24.9333
Ţibăneşti,46.9167,27.3333
Ţăndărei,44.65,27.6667
